Nicolau,M
Nicolau Coelho,M
Nicolau Marques Guedes,M
Nicolau Monteiro,M
Nicolau Nazoni,M
Nó das Areias,
Noeda,
Nogueiras,
Norte,
Norton de Matos,
Nova Alfândega,
Nova da Corujeira,
Nova da Estação,
Nova das Areias,
Nova de Azevedo,
Nova de Currais,
Nova de São Crispim,
Nova do Covelo,
Nova do Regado,
Nova do Rio,
Nova do Tronco,
Nova do Vale Formoso,
Nova Pinheiro de Campanhã,
Nova Sintra,
Nove de Abril,
Nove de Julho,
Nunes da Ponte,
Nuno Álvares Pereira,M
Nuno Bragança,M
Nuno de Meireles,M
Nuno Pinheiro Torres,M
O Comércio do Porto,
Ofélia Diogo da Costa,F
Olivais,
Oliveira Martins,
Oliveira Monteiro,
Oliveiras,
Oliveira Santos,
Oliveirinhas,
Olivença,
Olmeiros,
O Primeiro de Janeiro,
Orfeão da Foz,
Orfeão do Porto,
Orfeão Universitário do Porto,
Orlando Ribeiro,M
Orquídeas,
Óscar da Silva,M
Ourique,
Ouro,
Outeirinho,
Outeiro,
Outeiro da Ramalde,
Outeiro do Tine,
Pacheco,
Paço,
Paço de Sousa,
Paços de Ferreira,
Padrão,
Paiol,
Paiva Couceiro,
Palácio,
Palheta,
Palmeiras,
Palmela,
Palmira Milheiro,F
Panorâmica Edgar Cardoso,
Papoilas,
Parada Leitão,
Paraíso,
Paraíso da Foz,
Paraíso do Freixo,
Parceria,
Paredes,
Parque,
Particular Borges e Irmão,
Particular da Alta Mira,
Particular das Cruzes,
Particular da Tapada de Santo António,
Particular de Bonjóia,
Particular de Francos,
Particular de Monsanto,
Particular de Santo Isidro,
Particular Diamantina,
Particular dos Ferroviários,
Particular Justino Teixeira,
Particular Maria Albertina,
Particular Meneses Russel,
Particular Nº 1 Castelo do Queijo,
Particular Nº 2 Castelo do Queijo,
Particular Nº 3 Castelo do Queijo,
Particular Novais da Cunha,
Particular Pinheiro Manso,
Passadiço,
Passeio Alegre,
Passos,
Passos Manuel,
Pasteleira,
Património dos Pobres,
Paula Vicente,F
Paulo,M
Paulo da Gama,M
Paulo Dias de Novais,M
Paulo Pombo,M
Paulo Sarmento,M
Paulo Vallada,M
Paz,F
Pedras,
Pedras Salgadas,
Pedra Verde,
Pedregulho,
Pedreira,
Pedro,M
Pedro Augusto Ferreira,M
Pedro de Meneses,M
Pedro de Miragaia,M
Pedro de Sousa,M
Pedro Dias,M
Pedro Escobar,M
Pedro Hispano,M
Pedro Homem de Melo,M
Pedro Inácio Lopes,M
Pedro IV,M
Pedro Ivo,M
Pedro Nunes,M
Pedro Olaio,M
Pedro Pitões,M
Pedro Teixeira,M
Pedro V,M
Pedro Veiga,M
Pedro Vitorino,M
Pego Negro,
Pêgo Negro,
Pelágio,
Pelames,
Pena,
Penafiel,
Pena Ventosa,
Peneda,
Penoucos,
Pereira de Novais,
Pereira Reis,
Pereiras,
Pereiró,
Pero da Covilhã,
Pero de Alenquer,
Pero Vaz de Caminha,
Peso da Régua,
Picaria,
Pico,
Picoto,
Piedade,F
Pinheiro,
Pinheiro de Campanhã,
Pinheiro Grande,
